# Fleet suite timings, one row per suite per recorded run.
#
# Written ONLY by `ci/fleet/run-fleet.sh --record-timings`. An ordinary
# run prints its timings and writes nothing, so this file is a series of
# measurements somebody meant to take rather than a log of every push.
#
# seconds covers the SUITE only — clone, npm install and build are
# excluded, being dominated by the network and by whatever npm had
# cached. What is left is the part an engine change can move.
#
# COMPARE ROWS FROM THE SAME host AND toolchain, AND PREFER RUNS TAKEN
# BACK TO BACK. These are wall-clock times on whatever machine ran them;
# across machines, or across a busy and an idle one, the difference
# between two rows says more about the machine than about the engine.
# ci/bench/ab-compare.sh is the instrument for deciding whether a
# performance change is real; this file is for noticing that something
# has become slow, not for proving by how much.
run	host	node	go	engine	package	runtime	seconds	status
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	railroad	ts	1.2	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	railroad	go	0.3	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	semver	ts	26.0	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	semver	go	0.3	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	toml	ts	15.1	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	toml	go	0.4	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	yaml	ts	22.1	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	yaml	go	0.4	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	zon	ts	74.6	ok
2026-09-10T21:47:39Z	linux-x86_64	v22.22.2	go1.24.7	8e1b2cc	zon	go	0.3	ok
